tweet_id_str,created_at,user_id_str,username,name,user_mentions,hashtags,location,lang,quote_count,views_count,favorite_count,reply_count,retweet_count,bookmark_count,media_url_https,tweet_url,relation_type,target_tweet_id_str,target_username,full_text
2020096532717109641,Sat Feb 07 18:25:19 +0700 2026,1745265761416056832,indepenSumatera,Sumatera Adil & Federal,-,-,england,in,31,129069,7878,26,5448,166,https://pbs.twimg.com/ext_tw_video_thumb/2020096502987898880/pu/img/dYznt_Tpm6LR0IFG.jpg,https://x.com/indepenSumatera/status/2020096532717109641,-,-,-,"🚨 SATWA ENDEMIK KALIMANTAN YANG TERANCAM PUNAH  Satwa Endemik Kalimantan yang Populasinya Sangat Terancam Punah Gajah Kalimantan (Borneo / Bornean Elephant) Gajah Kalimantan secara genetik berbeda dari gajah Asia di daratan utama. Populasinya diperkirakan kurang dari 1.500 ekor, dengan jumlah reproduksi dewasa sekitar 400 ekor. Habitat mereka terus menyusut karena deforestasi, ekspansi perkebunan sawit, tambang, dan konflik manusia — sekitar 60 % habitat hilang dalam 40 tahun terakhir. Orangutan Kalimantan (Orangutan Borneo / Bornean Orangutan) Dulunya tersebar luas di Kalimantan, kini populasinya menurun drastis. Sekitar lebih dari 50% habitat hilang dalam 20 tahun terakhir dan populasi mengalami penurunan tajam selama 60 tahun terakhir. Ada tiga subspesies: Northwest Borneo ~3.000 ekor, Northeast ~16.000 (termasuk di Kalimantan Timur) dan Central ~35.000 ekor. Badak Kalimantan (Bornean Rhino / Bornean Rhinoceros, Dicerorhinus sumatrensis harrisoni) Badak Kalimantan berada di ambang kepunahan—hanya 2 individu yang dipastikan tersisa: Pari (masih di alam liar) dan Pahu (sudah dalam pusat konservasi). Untuk menyelamatkan spesiesnya, pemerintah merencanakan relokasi Pari ke kawasan konservasi yang lebih aman. Pesut Mahakam (Dolphin Air Tawar Mahakam / Irrawaddy Dolphin di Sungai Mahakam, Orcaella brevirostris) Pesut Mahakam adalah satu-satunya lumba-lumba air tawar di sungai Kalimantan. Statusnya Sangat Terancam Punah / Kritikal. Populasinya diperkirakan sekitar 60–70 ekor di alam liar menurut survei terkini. Ancaman utama termasuk terjerat jaring nelayan (≈ 66% angka kematian), benturan kapal, polusi, dan gangguan habitat. Ajakan 🌱 Mari kita bersama lindungi warisan alam Kalimantan! Dukung organisasi konservasi lokal & internasional Promosikan penggunaan alternatif terhadap produk yang merusak habitat (misalnya sawit berkelanjutan) Edukasikan masyarakat di sekitar habitat satwa Tekankan pentingnya koridor satwa dan perlindungan kawasan inti Sumber Utama IUCN / WWF / Natural History Museum: data Gajah Kalimantan WWF & laporan konservasi: data Orangutan ANTARA News: pernyataan relokasi badak ANTARA & KLH: data Pesut Mahakam Yayasan RASI: survei jangka panjang Pesut"
2020138031060000819,Sat Feb 07 21:10:13 +0700 2026,1222927522033094656,idextratime,Extra Time Indonesia,-,-,-,in,16,154206,3633,52,185,59,-,https://x.com/idextratime/status/2020138031060000819,-,-,-,woy itu sapa cik yang komen sawit vs nuklir 😭
2020306915960783266,Sun Feb 08 08:21:18 +0700 2026,947632364003368961,KangManto123,KANG MANTO,-,-,"Nganjuk, Indonesia",in,19,171833,3540,88,129,94,https://pbs.twimg.com/media/HAmSbvTasAAPoAI.jpg,https://x.com/KangManto123/status/2020306915960783266,-,-,-,Lumayan lahan baru bisa ditanami sawit ..😋 https://t.co/DLNDwjyRcW
2020864898461229064,Mon Feb 09 21:18:32 +0700 2026,1291503538758012929,xdozul,xdozul,@myshawti,-,"Alang-Alang Lebar, Indonesia",in,15,61006,2382,9,72,8,-,https://x.com/xdozul/status/2020864898461229064,replied,2020853944189382837,myshawti,@myshawti cara ubah biji owo dengan biji sawit
2020837737407172912,Mon Feb 09 19:30:36 +0700 2026,1666718933276332032,mencar882,𝐌𝐄𝐍𝐂𝐀𝐑,-,-,-,in,436,416822,35613,154,3166,550,https://pbs.twimg.com/media/HAt1NH8aoAArZqw.jpg,https://x.com/mencar882/status/2020837737407172912,-,-,-,di apk sebelah ada yg bilang namanya sawit pancake?? https://t.co/hudnyjcl4D
2020989627499237470,Tue Feb 10 05:34:10 +0700 2026,2005454899673448448,heartopia_fess,Heartopia Fess,-,-,Heartopia,in,20,33402,1371,20,199,688,https://pbs.twimg.com/media/HAv_WwuXwAAvh4W.jpg,https://x.com/heartopia_fess/status/2020989627499237470,-,-,-,"Pagi warga !hato 🌞 Hari ini Oak 🌳 ada di Rumah No. 12, Fluorite 💎 ada di Gunung Onsen (dekat tempat makan capybara), Telur Emerald 🥚💚 di sawit dekat Annie, Bubble 🫧 di sawit dekat jembatan shallow river! 😊 https://t.co/AOh1BuDyHp"
2021074661086462357,Tue Feb 10 11:12:03 +0700 2026,1159689173340585984,__AnakKolong,| A K |,@prabowo,-,Wherever you're not lookin',in,8,13283,331,59,114,11,https://pbs.twimg.com/media/HAxMsWZaAAIjCzr.jpg,https://x.com/__AnakKolong/status/2021074661086462357,-,-,-,"Meskipun @prabowo sudah purnawirawan, tapi ada satu hal yg tak pernah beliau lakukan yaitu:   MENCABUT SUMPAH PRAJURITNYA.  Maka, tegas sy sampaikan bhw; Prabowo adalah patriot yg ikhlas, konsisten, mengutamakan keperwiraan dlm melaksanakan tugas, senantiasa siap sedia berbhakti kepada nusa & bangsa, anti - asing, setia & menepati sumpah prajurit.  VALID NO DEBAT !!  Beliau, pasti tidak senang dgn hasil survei ini, krn keikhlasan & keperwiraannya dlm menjalankan tugas tak bisa dinilai dgn hasil survei kepuasan publik.  _________  Tp, itu narasi jika (misalnya) sy adalah pendukung garis keras beliau. 😁 _________  Antartika memang bukan tempat survei bohong, tapi satu tempat di mana akal sehat dibekukan, lalu dicairkan lagi pada angka 79,9%.  Konsistensi itu penting, tp kekuasaan tak pernah memilikinya, spy penguasa bisa sebebas - bebasnya memilih angka mana yg harus dipercaya hari ini.  Dan hari ini, Prabowo adalah ;  PRESIDEN YANG BERKUASA,   atas proyek MBG, sawit, & hajat hidup orang banyak, serta gemar mengukur segala sesuatu, termasuk nyawa manusia dgn angka² statistik. . . 😁🍻"
2021182076288971128,Tue Feb 10 18:18:53 +0700 2026,1833824699396317184,idkwtdhlp,avi,-,#singlesinferno5,"Edinburgh, Scotland",in,129,68492,3109,41,318,112,https://pbs.twimg.com/media/HAyuW09aAAQtmer.jpg,https://x.com/idkwtdhlp/status/2021182076288971128,-,-,-,"subeen: ""kamu tau ga nanti tanggal 14, hivi mau tampil, nonton yuk seng?""  seungil: ""lahan mana lagi yang kudu kita tanem sawit, mi?""  #singlesinferno5 https://t.co/grHgujpQDL"
2021588893464690864,Wed Feb 11 21:15:26 +0700 2026,1303996139931275264,puri__nim,puri🍉,-,-,unpaid labour yang demen asbun,in,472,421004,21856,117,4176,499,-,https://x.com/puri__nim/status/2021588893464690864,-,-,-,"Lagian diskursus SEA vs Korea ini kalo dibales dengan ""SEA rata-rata pemerintahnya jelek soalnya gabisa biayain soft diplomacy pake musik mereka"" kita semua juga bakal diem. Lu pada masih aja ngide pake ""jungle Asia"" yadda-yadda itu, udah gak jungle lagi shay, dah diganti sawit."
2021474869339422768,Wed Feb 11 13:42:20 +0700 2026,1750712668644921344,hrnyaftrsad,hrnyaftrsad,@mandikecil,-,-,in,0,0,0,0,11737,0,-,https://x.com/hrnyaftrsad/status/2021474869339422768,retweeted,2019380745090003074,mandikecil,"RT @mandikecil: Pemerintah kontol, MBG kontol, sawit kontol, hilirisasi nikel kontol, zionis kontol, dewasa kontol, cinta-cintaan kontol, mobile legends kontol"
